comment|verify profile changes
openURL|$url
verifyText|From the CTools Team
click|Login
verifyText|You are connecting to a U-M website that requires authentication.
enterText|login|um.test.friend@gmail.com
enterText|password|testpass_7
click|doLogin
verifyText|From the CTools Team
verifyText|Welcome to your personal workspace
click|My Profile
verifyText|My Account Details
verifyText|um.test.friend@gmail.com
verifyText|Wayne
verifyText|Gretzky
click|Logout
verifyText|You are about to log out
click|Log Out
verifyText|From the CTools Team
verifyText|Welcome
