openURL|$url
verifyText|Welcome to the Sakai Demo
verifyText|New Account
enterText|user id:|qastud
enterText|password:|Maugaityptodita6
click|Login
verifyText|My Workspace: Message Of The Day
verifyText|Welcome to your personal workspace.
click|$site
verifyText|Tests & Quizzes
verifyText|Site Information Display
verifyText|Recent Announcements
click|Tests & Quizzes
verifyText|Assessments
verifyText|Take an Assessment
click|Help for Tests & Quizzes
waitForPopUp|30
verifyText|Tests & Quizzes
verifyText|Search Help
verifyText|The Tests & Quizzes tool allows you to create online assessments 
closePopUp|
click|Logout
verifyText|Welcome to the Sakai Demo
verifyText|Message Of The Day
